id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
825	Lem-korc	Лем-корц	42,946425	46,313219	Chechen	Nakh	East Caucasian		Chechen									Lem-korc	chec1245	#996600	#996633	07.02.2021
826	Benoy-vedeno	Беной-ведено	42,9475	46,280833	Chechen	Nakh	East Caucasian		Chechen									Benoy-vedeno	chec1245	#996600	#996633	07.02.2021
827	Zony	Зоны	42,948333	45,722222	Chechen	Nakh	East Caucasian		Chechen									Zony	chec1245	#996600	#996633	07.02.2021
828	Dyshne-vedeno	Дышне-ведено	42,951389	46,134722	Chechen	Nakh	East Caucasian		Chechen									Dyshne-vedeno	chec1245	#996600	#996633	07.02.2021
829	Nizhniy azhgechu	Нижний ажгечу	42,952566	45,402498	Chechen	Nakh	East Caucasian		Chechen									Nizhniy azhgechu	chec1245	#996600	#996633	07.02.2021
830	Gurchu	Гурчу	42,955419	45,313221	Chechen	Nakh	East Caucasian		Chechen									Gurchu	chec1245	#996600	#996633	07.02.2021
831	Neftyanka	Нефтянка	42,956646	46,085505	Chechen	Nakh	East Caucasian		Chechen									Neftyanka	chec1245	#996600	#996633	07.02.2021
832	Vedeno	Ведено	42,956944	46,110278	Chechen	Nakh	East Caucasian		Chechen	Lowland	Плоскостной	Ichkerian	Ичкерийский					Vedeno	chec1245	#996600	#996633	07.02.2021
833	yokka-yerbala	йокка-йербала	42,96084	45,26747	Chechen	Nakh	East Caucasian		Chechen									yokka-yerbala	chec1245	#996600	#996633	07.02.2021
834	Verkhniy azhgechu	Верхний ажгечу	42,9625	45,385776	Chechen	Nakh	East Caucasian		Chechen									Verkhniy azhgechu	chec1245	#996600	#996633	07.02.2021
458	Chirkey	Чиркей	42,9633	46,9767	Avar	Avar	East Caucasian		Avar									Chirkey	avar1256	#009999	#009999	07.02.2021
835	Eshilkhatoy	Эшилхатой	42,963561	46,053813	Chechen	Nakh	East Caucasian		Chechen									Eshilkhatoy	chec1245	#996600	#996633	07.02.2021
836	Makhkety	Махкеты	42,963611	45,906389	Chechen	Nakh	East Caucasian		Chechen									Makhkety	chec1245	#996600	#996633	07.02.2021
837	Magusty	Магусты	42,964722	45,380556	Chechen	Nakh	East Caucasian		Chechen									Magusty	chec1245	#996600	#996633	07.02.2021
838	Bonchu-diga	Бончу-дига	42,96511	45,33223	Chechen	Nakh	East Caucasian		Chechen									Bonchu-diga	chec1245	#996600	#996633	07.02.2021
1434	Alkun	Алкун	42,967123	45,022044	Ingush	Nakh	East Caucasian		Ingush									Alkun	ingu1240	#663300	#996633	07.02.2021
839	Alkhan-khutor	Алхан-хутор	42,969722	46,351667	Chechen	Nakh	East Caucasian		Chechen									Alkhan-khutor	chec1245	#996600	#996633	07.02.2021
840	Zhima-yerbala	Жима-йербала	42,97189	45,25772	Chechen	Nakh	East Caucasian		Chechen									Zhima-yerbala	chec1245	#996600	#996633	07.02.2021
841	Elistanzhi	Элистанжи	42,9725	46,017222	Chechen	Nakh	East Caucasian		Chechen									Elistanzhi	chec1245	#996600	#996633	07.02.2021
842	Tevzana	Тевзана	42,975278	45,911111	Chechen	Nakh	East Caucasian		Chechen									Tevzana	chec1245	#996600	#996633	07.02.2021
843	'Oktyabr''skoe'	Октябрьское	42,980278	46,080833	Chechen	Nakh	East Caucasian		Chechen									'Oktyabr''skoe'	chec1245	#996600	#996633	07.02.2021
844	Khattuni	Хаттуни	42,980278	45,936944	Chechen	Nakh	East Caucasian		Chechen									Khattuni	chec1245	#996600	#996633	07.02.2021
845	Belgatoy	Белгатой	42,980833	46,213056	Chechen	Nakh	East Caucasian		Chechen									Belgatoy	chec1245	#996600	#996633	07.02.2021
846	Tazen-kala	Тазен-кала	42,980989	46,182928	Chechen	Nakh	East Caucasian		Chechen									Tazen-kala	chec1245	#996600	#996633	07.02.2021
847	Bulgat-irzu	Булгати-ирзу	42,981873	46,372068	Chechen	Nakh	East Caucasian		Chechen									Bulgat-irzu	chec1245	#996600	#996633	07.02.2021
848	Pachu	Пачу	42,983333	46,316667	Chechen	Nakh	East Caucasian		Chechen									Pachu	chec1245	#996600	#996633	07.02.2021
461	Almak	Алмак	42,985693	46,580315	Avar	Avar	East Caucasian		Avar									Almak	avar1256	#009999	#009999	07.02.2021
849	Kechnyukhi	Кечнюхи	42,986147	45,273358	Chechen	Nakh	East Caucasian		Chechen									Kechnyukhi	chec1245	#996600	#996633	07.02.2021
850	Osi-yurt	Оси-юрт	42,986703	46,299984	Chechen	Nakh	East Caucasian		Chechen									Osi-yurt	chec1245	#996600	#996633	07.02.2021
851	Ulus-kert	Улус-керт	42,988056	45,76	Chechen	Nakh	East Caucasian		Chechen									Ulus-kert	chec1245	#996600	#996633	07.02.2021
463	Burtunay	Буртунай	42,992004	46,630332	Avar	Avar	East Caucasian		Avar									Burtunay	avar1256	#009999	#009999	07.02.2021
